routeID,timestamp,stopName,routeShortName,serviceDay,scheduledArrival,arrivalDelay,distanceFromStart,stopsTotal
VHJpcDpIU0w6MTA1Nl8yMDIyMDIxMV9TdV8xXzIzMzA=,1644787964.7405028,H3005,56,1644703200,84660,62,2,31
VHJpcDpIU0w6MTA1NV8yMDIyMDIxMV9TdV8yXzIzMjY=,1644788242.2913108,H3008,55,1644703200,84900,142,10,22
VHJpcDpIU0w6MTA1NV8yMDIyMDIxMV9TdV8xXzIzMjc=,1644788242.2914248,H3005,55,1644703200,84960,70,7,22
VHJpcDpIU0w6MTAyM18yMDIyMDIxMV9TdV8xXzIzMTM=,1644788288.6147447,H2205,23,1644703200,85140,-25,22,33
VHJpcDpIU0w6MTA2NF8yMDIyMDIxMV9TdV8yXzIzMzQ=,1644788335.0277574,H3120,64,1644703200,85140,-12,7,25
VHJpcDpIU0w6MTA3N05fMjAyMjAyMTFfU3VfMl8yMzE3,1644788427.5177214,H3245,77N,1644703200,85020,226,24,45
VHJpcDpIU0w6MTA1Nl8yMDIyMDIxMV9TdV8yXzIzMjA=,1644788473.902275,H3008,56,1644703200,85260,-6,24,29
VHJpcDpIU0w6MTA1OV8yMDIyMDIxMV9TdV8xXzIzMzE=,1644788551.0411422,H2165,59,1644703200,85380,-34,10,36
VHJpcDpIU0w6MTA3M05fMjAyMjAyMTFfU3VfMl8yMzI0,1644788674.531915,H3245,73N,1644703200,85440,17,27,40
VHJpcDpIU0w6MTA3OV8yMDIyMDIxMV9TdV8yXzIzMjg=,1644788967.3897007,H3245,79,1644703200,85680,85,26,45
VHJpcDpIU0w6MTA3NE5fMjAyMjAyMTFfU3VfMl8yMzM0,1644789291.341248,H3245,74N,1644703200,86040,88,29,42
VHJpcDpIU0w6MTA2M18yMDIyMDIxMV9TdV8xXzIzMzg=,1644789400.1986523,H2205,63,1644703200,86220,-41,16,33
VHJpcDpIU0w6MTAyM18yMDIyMDIxMV9TdV8yXzIzMzA=,1644789585.146546,H2126,23,1644703200,86040,327,27,34
VHJpcDpIU0w6MTA1OV8yMDIyMDIxMV9TdV8yXzIzMjg=,1644789785.551101,H2569,59,1644703200,86580,-15,33,35
VHJpcDpIU0w6MTA3OU5fMjAyMjAyMTFfU3VfMl8yMzQ1,1644789862.6130433,H3245,79N,1644703200,86640,19,24,37
VHJpcDpIU0w6MTA1NV8yMDIyMDIxMV9TdV8yXzIzNTY=,1644789924.9999485,H3008,55,1644703200,86700,18,10,22
VHJpcDpIU0w6MTA1NV8yMDIyMDIxMV9TdV8xXzIzNTc=,1644790048.295752,H3005,55,1644703200,86760,60,7,22
VHJpcDpIU0w6MTA3N05fMjAyMjAyMTFfU3VfMl8yMzQ4,1644790171.7822814,H3245,77N,1644703200,86820,147,24,45
VHJpcDpIU0w6MTAyM18yMDIyMDIxMV9TdV8xXzIzNDM=,1644790279.5833104,H2205,23,1644703200,86880,182,22,33
VHJpcDpIU0w6MTA3M05fMjAyMjAyMTFfU3VfMl8yMzU0,1644790479.9217274,H3245,73N,1644703200,87240,50,27,40
VHJpcDpIU0w6MTAyM18yMDIyMDIxMV9TdV8yXzI0MDA=,1644791065.5991094,H2126,23,1644703200,87780,70,27,34
VHJpcDpIU0w6MTA3NE5fMjAyMjAyMTFfU3VfMl8yNDA0,1644791127.2680092,H3245,74N,1644703200,87840,72,29,42
VHJpcDpIU0w6MTA3OU5fMjAyMjAyMTFfU3VfMl8yNDE1,1644791652.777934,H3245,79N,1644703200,88440,1,24,37
VHJpcDpIU0w6MTAyM18yMDIyMDIxMV9TdV8xXzI0MTM=,1644791699.0409863,H2205,23,1644703200,88560,-44,22,33
VHJpcDpIU0w6MTA1NV8yMDIyMDIxMV9TdV8xXzI0Mjc=,1644791837.7197115,H3005,55,1644703200,88500,90,7,22
