routeID,timestamp,stopName,routeShortName,serviceDay,scheduledArrival,arrivalDelay,distanceFromStart,stopsTotal
VHJpcDpIU0w6MjUxMF8yMDIyMDIxMV9TdV8xXzIzNTU=,1644790454.6675498,H1379,510,1644703200,87060,174,13,27
VHJpcDpIU0w6NDQxMV8yMDIyMDIxMV9TdV8xXzI0MTI=,1644790500.8092456,H1911,411,1644703200,87300,29,1,29
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9TdV8yXzIzMzQ=,1644790500.8093185,H1210,30,1644703200,87180,158,35,40
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzI0MTI=,1644790531.6455305,H1911,40,1644703200,87300,37,1,24
VHJpcDpIU0w6MjIwMF8yMDIyMDIxMV9TdV8yXzIzNDA=,1644790716.7523165,H1914,200,1644703200,87480,35,30,33
VHJpcDpIU0w6NjE3M05fMjAyMjAyMTFfU3VfMl8yMzAw,1644790855.4611022,E2332,173N,1644703200,86940,725,82,86
VHJpcDpIU0w6MjExOE5fMjAyMjAyMTFfU3VfMV8yNDIw,1644790932.5119202,H1234,118N,1644703200,87660,69,1,50
VHJpcDpIU0w6MjExNE5fMjAyMjAyMTFfU3VfMl8yNDAw,1644790963.3569057,E2332,114N,1644703200,87780,-8,28,32
VHJpcDpIU0w6MjEzNE5fMjAyMjAyMTFfU3VfMV8yNDIy,1644790978.7770965,H1234,134N,1644703200,87780,0,1,35
VHJpcDpIU0w6MjEzNE5fMjAyMjAyMTFfU3VfMV8yNDIy,1644791040.3982751,H1234,134N,1644703200,87780,124,1,35
VHJpcDpIU0w6MTUwMF8yMDIyMDIxMV9TdV8xXzIzNTc=,1644791055.810139,H1379,500,1644703200,87660,176,19,27
VHJpcDpIU0w6NDQzMU5fMjAyMjAyMTFfU3VfMV8yNDI0,1644791256.991233,H1911,431N,1644703200,88020,46,1,61
VHJpcDpIU0w6MjIzMU5fMjAyMjAyMTFfU3VfMl8yMzUw,1644791287.7880669,H1914,231N,1644703200,88200,-109,47,50
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9TdV8yXzI0MDQ=,1644791411.5311673,H1210,20,1644703200,88020,203,21,26
VHJpcDpIU0w6MjE0Nk5fMjAyMjAyMTFfU3VfMV8yNDI4,1644791426.9262223,H1234,146N,1644703200,88140,90,1,31
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzI0Mjc=,1644791442.338339,H1911,40,1644703200,88200,37,1,24
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8yXzI0MDM=,1644791643.0181127,H1914,40,1644703200,87900,523,20,23
VHJpcDpIU0w6MjExMk5fMjAyMjAyMTFfU3VfMl8yNDE1,1644791781.6990054,E2332,112N,1644703200,88500,91,31,40
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8yXzI0MTg=,1644791951.0813422,H1914,40,1644703200,88800,-74,20,23
VHJpcDpIU0w6NDQyMV8yMDIyMDIxMV9TdV8xXzI0MzY=,1644791966.5119069,H1911,421,1644703200,88740,32,1,35
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfU3VfMl8yNDE4,1644792043.6211362,E2332,147N,1644703200,88800,51,26,30
VHJpcDpIU0w6MjExNE5fMjAyMjAyMTFfU3VfMV8yNDQw,1644792059.0421112,H1234,114N,1644703200,88860,0,1,32
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9TdV8yXzI0MDM=,1644792105.2115798,H1210,30,1644703200,88860,58,35,40
VHJpcDpIU0w6MjE2NU5fMjAyMjAyMTFfU3VfMl8yNDA4,1644792182.2372055,E2332,165N,1644703200,88860,143,35,39
VHJpcDpIU0w6MjIzNU5fMjAyMjAyMTFfU3VfMl8yMzQ4,1644792213.0686402,H1914,235N,1644703200,88860,149,63,66
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzI0NDI=,1644792367.26022,H1911,40,1644703200,89100,70,1,24
VHJpcDpIU0w6MjEyNU5fMjAyMjAyMTFfU3VfMl8yNDIw,1644792429.8641257,E2332,125N,1644703200,89220,19,36,40
VHJpcDpIU0w6NDQxNU5fMjAyMjAyMTFfU3VfMl8yNDA1,1644792553.1553488,H1914,415N,1644703200,89280,78,52,55
VHJpcDpIU0w6MjExOE5fMjAyMjAyMTFfU3VfMl8yNDIw,1644792938.1990924,E2332,118N,1644703200,89700,19,42,46
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8yXzI0MzM=,1644792999.7537253,H1914,40,1644703200,89700,98,20,23
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9TdV8yXzI0MzQ=,1644793030.564282,H1210,20,1644703200,89820,45,21,26
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfU3VfMV8yNDU4,1644793138.3332453,H1234,147N,1644703200,89940,0,1,31
VHJpcDpIU0w6NDQzMU5fMjAyMjAyMTFfU3VfMl8yNDE4,1644793199.984806,H1914,431N,1644703200,89940,103,56,59
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfU3VfMV8yNDU4,1644793215.3965123,H1234,147N,1644703200,89940,52,1,31
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzI0NTc=,1644793230.7651198,H1911,40,1644703200,90000,40,1,24
VHJpcDpIU0w6MjEzNE5fMjAyMjAyMTFfU3VfMl8yNDM3,1644793431.0402608,E2332,134N,1644703200,90300,-68,32,36
VHJpcDpIU0w6MjEyNU5fMjAyMjAyMTFfU3VfMV8yNTA1,1644793554.31365,H1234,125N,1644703200,90360,0,1,39
VHJpcDpIU0w6MjE2NU5fMjAyMjAyMTFfU3VfMV8yNTA1,1644793554.3136697,H1234,165N,1644703200,90360,0,1,41
VHJpcDpIU0w6NDQxNU5fMjAyMjAyMTFfU3VfMV8yNTAz,1644793585.1097283,H1911,415N,1644703200,90360,12,1,56
VHJpcDpIU0w6MjEyNU5fMjAyMjAyMTFfU3VfMV8yNTA1,1644793600.5159574,H1234,125N,1644703200,90360,64,1,39
VHJpcDpIU0w6MjE2NU5fMjAyMjAyMTFfU3VfMV8yNTA1,1644793646.6345685,H1234,165N,1644703200,90360,51,1,41
VHJpcDpIU0w6NjE3M05fMjAyMjAyMTFfU3VfMV8yNTA1,1644793661.9992218,H1234,173N,1644703200,90360,113,1,81
VHJpcDpIU0w6MjExMk5fMjAyMjAyMTFfU3VfMV8yNTAw,1644793677.4196067,H1025,112N,1644703200,90360,106,5,44
VHJpcDpIU0w6MjE0Nk5fMjAyMjAyMTFfU3VfMl8yNDQ4,1644793800.5553522,E2332,146N,1644703200,90540,60,27,31
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9TdV8yXzI0MzM=,1644793831.3526435,H1210,30,1644703200,90600,36,35,40
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8yXzI0NDg=,1644793909.0178616,H1914,40,1644703200,90600,132,20,23
VHJpcDpIU0w6MjIzNU5fMjAyMjAyMTFfU3VfMl8yNDE4,1644794047.6685946,H1914,235N,1644703200,90660,189,63,66
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8xXzI1MTI=,1644794140.6068754,H1911,40,1644703200,90900,20,1,24
VHJpcDpIU0w6MjExOE5fMjAyMjAyMTFfU3VfMV8yNTIw,1644794448.8287306,H1234,118N,1644703200,91260,0,1,50
VHJpcDpIU0w6NDQxMV8yMDIyMDIxMV9TdV8xXzI1MTg=,1644794479.6409216,H1911,411,1644703200,91260,30,1,29
VHJpcDpIU0w6MjExOE5fMjAyMjAyMTFfU3VfMV8yNTIw,1644794525.824467,H1234,118N,1644703200,91260,44,1,50
VHJpcDpIU0w6MjEzNE5fMjAyMjAyMTFfU3VfMV8yNTIy,1644794572.0165644,H1234,134N,1644703200,91380,0,1,35
VHJpcDpIU0w6MjEzNE5fMjAyMjAyMTFfU3VfMV8yNTIy,1644794649.2034445,H1234,134N,1644703200,91380,37,1,35
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9TdV8yXzI1MDM=,1644794679.9951158,H1914,40,1644703200,91500,-16,20,23
VHJpcDpIU0w6MjIzMU5fMjAyMjAyMTFfU3VfMl8yNDUw,1644794880.0711408,H1914,231N,1644703200,91680,4,47,50
VHJpcDpIU0w6MjE0Nk5fMjAyMjAyMTFfU3VfMV8yNTI4,1644794926.2539418,H1234,146N,1644703200,91740,0,1,31
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9TdV8yXzI1MDQ=,1644794987.869685,H1210,20,1644703200,91620,188,21,26
VHJpcDpIU0w6NDQzMU5fMjAyMjAyMTFfU3VfMV8yNTI3,1644795003.2588773,H1911,431N,1644703200,91800,34,1,61
