routeID,timestamp,stopName,routeShortName,serviceDay,scheduledArrival,arrivalDelay,distanceFromStart,stopsTotal
VHJpcDpIU0w6MTA1Nl8yMDIyMDMwN19UaV8yXzA4MzE=,1646723239.2596517,H3008,56,1646690400,32520,320,24,29
VHJpcDpIU0w6MTA1OV8yMDIyMDMwN19UaV8xXzA4NDk=,1646723285.6729162,H2165,59,1646690400,32760,126,10,36
VHJpcDpIU0w6MTA2OV8yMDIyMDMwN19UaV8yXzA4MjU=,1646723378.3294291,H3120,69,1646690400,33060,-85,39,67
VHJpcDpIU0w6MTA3MV8yMDIyMDMwN19UaV8yXzA5MDE=,1646723424.8158066,H3245,71,1646690400,33000,10,8,29
VHJpcDpIU0w6MTA3MF8yMDIyMDMwN19UaV8yXzA4NTM=,1646723440.2585015,H3245,70,1646690400,33060,-23,15,31
VHJpcDpIU0w6MTA3M18yMDIyMDMwN19UaV8yXzA4NDE=,1646723471.1601999,H3245,73,1646690400,33000,38,27,38
VHJpcDpIU0w6OTczOF8yMDIyMDMwN19UaV8yXzA4MTU=,1646723486.6587248,H3008,738,1646690400,32460,650,37,42
VHJpcDpIU0w6MTA3MF8yMDIyMDMwN19UaV8yXzA4NTM=,1646723532.910469,H3245,70,1646690400,33060,69,15,31
VHJpcDpIU0w6NDUxOF8yMDIyMDMwN19UaV8yXzA4MzE=,1646723548.3328753,H2165,518,1646690400,33000,140,32,40
VHJpcDpIU0w6MTA1Nl8yMDIyMDMwN19UaV8xXzA5MDk=,1646723610.1300826,H3005,56,1646690400,33060,104,2,31
VHJpcDpIU0w6MTA3OV8yMDIyMDMwN19UaV8yXzA4NDY=,1646723610.1301618,H3245,79,1646690400,33240,-33,26,45
VHJpcDpIU0w6MjUwMl8yMDIyMDMwN19UaV8yXzA4Mzg=,1646723640.9744494,H2126,502,1646690400,32760,467,17,22
VHJpcDpIU0w6MTA1OV8yMDIyMDMwN19UaV8yXzA4MTU=,1646723687.3287392,H2569,59,1646690400,32640,635,33,35
