routeID,timestamp,stopName,routeShortName,serviceDay,scheduledArrival,arrivalDelay,distanceFromStart,stopsTotal
VHJpcDpIU0w6MjMyMV8yMDIyMDMwN19UaV8yXzA4MzU=,1646724151.6354268,H1914,321,1646690400,33720,41,41,44
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8xXzA5MjA=,1646724182.3663552,H1234,21,1646690400,33720,53,1,15
VHJpcDpIU0w6MjUxMF8yMDIyMDMwN19UaV8xXzA4NTg=,1646724197.7941835,H1379,510,1646690400,33720,61,13,27
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA4MjQ=,1646724213.1502764,H1914,200,1646690400,33420,379,30,33
VHJpcDpIU0w6MjE0NkFfMjAyMjAzMDdfVGlfMl8wOTAy,1646724320.7861896,E2332,146A,1646690400,33600,321,16,20
VHJpcDpIU0w6MTAzMF8yMDIyMDMwN19UaV8yXzA4Mjk=,1646724351.5460343,H1210,30,1646690400,33900,41,35,40
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8xXzA5MjE=,1646724382.3537169,H1911,63,1646690400,33960,54,2,33
VHJpcDpIU0w6MjE0M0FfMjAyMjAzMDdfVGlfMl8wOTA4,1646724413.176739,E2332,143A,1646690400,34020,10,17,21
VHJpcDpIU0w6MjIxMl8yMDIyMDMwN19UaV8yXzA4NDI=,1646724428.5391169,H1914,212,1646690400,33720,308,32,37
VHJpcDpIU0w6MTAyMl8yMDIyMDMwN19UaV8xXzA5MTA=,1646724428.539985,H1025,22,1646690400,33900,112,9,18
VHJpcDpIU0w6NDQyMV8yMDIyMDMwN19UaV8xXzA5MjM=,1646724443.9634285,H1911,421,1646690400,34020,16,1,35
VHJpcDpIU0w6MTUwMF8yMDIyMDMwN19UaV8xXzA4NTA=,1646724521.2158618,H1379,500,1646690400,33960,138,19,27
VHJpcDpIU0w6MTAyNV8yMDIyMDMwN19UaV8yXzA5MDQ=,1646724536.5819318,H1231,25,1646690400,34080,63,19,22
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA4NTQ=,1646724552.0020666,H1914,200,1646690400,35160,18,30,33
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA5MTQ=,1646724583.006567,H1914,40,1646690400,35160,-22,20,23
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8xXzA5MjU=,1646724583.006823,H1911,40,1646690400,34140,23,1,24
VHJpcDpIU0w6NDMzMl8yMDIyMDMwN19UaV8yXzA4NDE=,1646724598.4069407,H1914,332,1646690400,34020,161,38,41
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8yXzA5MzA=,1646724598.4080417,H1025,21,1646690400,34200,-204,0,16
VHJpcDpIU0w6MjE2NEFfMjAyMjAzMDdfVGlfMl8wOTAy,1646724644.729442,E2332,164A,1646690400,34020,232,21,25
VHJpcDpIU0w6MjUxMF8yMDIyMDMwN19UaV8xXzA5MDY=,1646724660.131953,H1379,510,1646690400,34200,30,13,27
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8yXzA4NTE=,1646724706.3251185,H1914,63,1646690400,33900,397,29,34
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8xXzA5MzA=,1646724706.3256903,H1234,21,1646690400,34320,6,1,15
VHJpcDpIU0w6MjQzNl8yMDIyMDMwN19UaV8yXzA4Mzc=,1646724721.739566,H1914,436,1646690400,34140,175,44,47
VHJpcDpIU0w6MjEwNF8yMDIyMDMwN19UaV8yXzA5MjA=,1646724721.740511,E2332,104,1646690400,34200,111,11,15
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8xXzA5MzA=,1646724737.1614215,H1234,21,1646690400,34320,-4,1,15
VHJpcDpIU0w6MjIxM18yMDIyMDMwN19UaV8yXzA4MzQ=,1646724752.571196,H1914,213,1646690400,33840,503,39,44
VHJpcDpIU0w6MjE0N0FfMjAyMjAzMDdfVGlfMl8wOTA5,1646724783.5240028,E2332,147A,1646690400,34380,-24,21,25
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA4NTg=,1646724798.9601538,H1914,40,1646690400,34200,184,20,23
VHJpcDpIU0w6MTUwMF8yMDIyMDMwN19UaV8xXzA4NTg=,1646724845.1626418,H1379,500,1646690400,34440,-19,19,27
VHJpcDpIU0w6MjQzNl8yMDIyMDMwN19UaV8xXzA5MzE=,1646724891.6654243,H1911,436,1646690400,34500,-21,1,45
VHJpcDpIU0w6MTAyMkJfMjAyMjAzMDdfVGlfMV8wOTM1,1646724891.665833,H1025,22B,1646690400,34500,-89,0,9
VHJpcDpIU0w6MTAyMF8yMDIyMDMwN19UaV8yXzA4NTU=,1646724907.0568218,H1210,20,1646690400,34260,207,21,26
VHJpcDpIU0w6MjM0NV8yMDIyMDMwN19UaV8yXzA4NDM=,1646724937.83131,H1914,345,1646690400,34320,206,46,49
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA4MzQ=,1646724953.3148675,H1914,200,1646690400,33960,582,30,33
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8xXzA5MzM=,1646725030.3525515,H1911,40,1646690400,34620,17,1,24
VHJpcDpIU0w6MjUxMF8yMDIyMDMwN19UaV8xXzA5MTQ=,1646725122.8738072,H1379,510,1646690400,34680,6,13,27
VHJpcDpIU0w6MjE0NkFfMjAyMjAzMDdfVGlfMl8wOTE3,1646725138.2760932,E2332,146A,1646690400,34500,237,16,20
VHJpcDpIU0w6NDQxMV8yMDIyMDMwN19UaV8yXzA5MDE=,1646725153.6412277,H1914,411,1646690400,34500,229,27,30
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA5MDY=,1646725169.0159657,H1914,40,1646690400,34680,74,20,23
VHJpcDpIU0w6NDMyMl8yMDIyMDMwN19UaV8yXzA5MTM=,1646725184.427431,H1914,322,1646690400,35820,139,36,39
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA4NDQ=,1646725199.8289979,H1914,200,1646690400,34560,235,30,33
VHJpcDpIU0w6MTAyNF8yMDIyMDMwN19UaV8yXzA5Mjk=,1646725233.346364,H1231,24,1646690400,34980,-143,14,17
VHJpcDpIU0w6NDMyMl8yMDIyMDMwN19UaV8yXzA5MTM=,1646725279.7984982,H1914,322,1646690400,35820,139,36,39
VHJpcDpIU0w6NDQxMV8yMDIyMDMwN19UaV8xXzA5Mzg=,1646725326.0073214,H1911,411,1646690400,34920,1,1,29
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8xXzA5NDA=,1646725341.6487198,H1234,21,1646690400,34920,-1,1,15
VHJpcDpIU0w6MTUwMF8yMDIyMDMwN19UaV8xXzA5MDY=,1646725357.1254494,H1379,500,1646690400,34920,27,19,27
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA5MzA=,1646725372.5086863,H1914,40,1646690400,36120,-534,20,23
VHJpcDpIU0w6NDQzMV8yMDIyMDMwN19UaV8yXzA5MDI=,1646725387.8908253,H1914,431,1646690400,34860,112,33,36
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8xXzA5Mzc=,1646725403.4148152,H1911,63,1646690400,34920,81,2,33
VHJpcDpIU0w6MTAzMF8yMDIyMDMwN19UaV8yXzA4NDE=,1646725418.7626874,H1210,30,1646690400,34620,372,35,40
VHJpcDpIU0w6MTAyMF8yMDIyMDMwN19UaV8yXzA5MDc=,1646725511.1993504,H1210,20,1646690400,34920,150,21,26
VHJpcDpIU0w6NDQyMV8yMDIyMDMwN19UaV8yXzA5MTI=,1646725526.6017008,H1914,421,1646690400,35220,-96,31,34
VHJpcDpIU0w6MTAyMl8yMDIyMDMwN19UaV8xXzA5MzA=,1646725526.6027007,H1025,22,1646690400,35100,-4,9,18
VHJpcDpIU0w6MjE0M0FfMjAyMjAzMDdfVGlfMl8wOTIz,1646725557.484493,E2332,143A,1646690400,34920,245,17,21
VHJpcDpIU0w6MjUxMF8yMDIyMDMwN19UaV8xXzA5MjI=,1646725572.8754165,H1379,510,1646690400,35100,83,13,27
VHJpcDpIU0w6NDMyMl8yMDIyMDMwN19UaV8yXzA4NTM=,1646725588.318301,H1914,322,1646690400,34680,499,36,39
VHJpcDpIU0w6MjE2NEFfMjAyMjAzMDdfVGlfMl8wOTE3,1646725603.7156706,E2332,164A,1646690400,34920,287,21,25
VHJpcDpIU0w6MjE0N0FfMjAyMjAzMDdfVGlfMl8wOTI0,1646725634.491048,E2332,147A,1646690400,35280,-27,21,25
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA4NTQ=,1646725665.2881336,H1914,200,1646690400,35160,99,30,33
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA5MTQ=,1646725696.0668302,H1914,40,1646690400,35160,115,20,23
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8yXzA5MDg=,1646725742.2269795,H1914,63,1646690400,34920,411,29,34
VHJpcDpIU0w6MjMyMV8yMDIyMDMwN19UaV8yXzA4NTk=,1646725742.2270153,H1914,321,1646690400,35160,187,41,44
VHJpcDpIU0w6NDQzMV8yMDIyMDMwN19UaV8xXzA5NDU=,1646725742.2274845,H1911,431,1646690400,35340,2,1,37
VHJpcDpIU0w6MTAyNV8yMDIyMDMwN19UaV8yXzA5MjQ=,1646725773.0939863,H1231,25,1646690400,35280,97,19,22
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8yXzA5NTA=,1646725788.4981937,H1025,21,1646690400,35400,-60,0,16
VHJpcDpIU0w6MjEwNF8yMDIyMDMwN19UaV8yXzA5NDA=,1646725834.7058365,E2332,104,1646690400,35400,35,11,15
VHJpcDpIU0w6MTUwMF8yMDIyMDMwN19UaV8xXzA5MTU=,1646725850.1197515,H1379,500,1646690400,35400,15,19,27
VHJpcDpIU0w6MjIxM18yMDIyMDMwN19UaV8yXzA4NTc=,1646725865.5006304,H1914,213,1646690400,35160,297,39,44
VHJpcDpIU0w6MTAzMF8yMDIyMDMwN19UaV8yXzA4NTM=,1646725865.50117,H1210,30,1646690400,35340,111,35,40
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8xXzA5NDA=,1646725880.9487233,H1911,40,1646690400,35040,442,1,24
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8xXzA5NTA=,1646725927.1341553,H1234,21,1646690400,35520,12,1,15
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8xXzA5NDg=,1646725973.3028986,H1911,40,1646690400,35520,47,1,24
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA5MjI=,1646726034.9882221,H1914,40,1646690400,35640,-14,20,23
VHJpcDpIU0w6MTAyMF8yMDIyMDMwN19UaV8yXzA5MjA=,1646726034.9887333,H1210,20,1646690400,35700,-97,21,26
VHJpcDpIU0w6NDMzMl8yMDIyMDMwN19UaV8yXzA5MDY=,1646726096.6765015,H1914,332,1646690400,35460,236,38,41
VHJpcDpIU0w6MTAyMkJfMjAyMjAzMDdfVGlfMV8wOTU1,1646726096.6773705,H1025,22B,1646690400,35700,-129,0,9
VHJpcDpIU0w6MjUxMF8yMDIyMDMwN19UaV8xXzA5MzI=,1646726173.9271781,H1379,510,1646690400,35700,62,13,27
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8xXzA5NTI=,1646726189.2951763,H1911,63,1646690400,35820,-45,2,33
VHJpcDpIU0w6NDQyMV8yMDIyMDMwN19UaV8xXzA5NTM=,1646726250.9745302,H1911,421,1646690400,35820,20,1,35
VHJpcDpIU0w6NDMyMl8yMDIyMDMwN19UaV8yXzA5MTM=,1646726281.78136,H1914,322,1646690400,35820,61,36,39
VHJpcDpIU0w6MjIxMl8yMDIyMDMwN19UaV8yXzA5MTI=,1646726358.95868,H1914,212,1646690400,35460,495,32,37
VHJpcDpIU0w6MjE2NEFfMjAyMjAzMDdfVGlfMl8wOTMy,1646726374.3453994,E2332,164A,1646690400,35820,156,21,25
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8yXzEwMDA=,1646726389.7531443,H1025,21,1646690400,36000,-44,0,16
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8xXzA5NTY=,1646726420.5938878,H1911,40,1646690400,36000,18,1,24
VHJpcDpIU0w6MjQzNl8yMDIyMDMwN19UaV8yXzA5MDM=,1646726435.9868982,H1914,436,1646690400,35700,326,44,47
VHJpcDpIU0w6MjEwNF8yMDIyMDMwN19UaV8xXzEwMDE=,1646726451.376204,H1025,104,1646690400,36060,-35,0,15
VHJpcDpIU0w6MjIwMF8yMDIyMDMwN19UaV8yXzA5MDQ=,1646726497.5708764,H1914,200,1646690400,35760,321,30,33
VHJpcDpIU0w6NDQxMV8yMDIyMDMwN19UaV8yXzA5MjY=,1646726543.8984873,H1914,411,1646690400,35940,190,27,30
VHJpcDpIU0w6MTAyMV8yMDIyMDMwN19UaV8xXzEwMDA=,1646726543.8990166,H1234,21,1646690400,36120,20,1,15
VHJpcDpIU0w6MTA2M18yMDIyMDMwN19UaV8yXzA5MjQ=,1646726590.081314,H1914,63,1646690400,35880,275,29,34
VHJpcDpIU0w6MTA0MF8yMDIyMDMwN19UaV8yXzA5MzA=,1646726605.4680636,H1914,40,1646690400,36120,77,20,23
VHJpcDpIU0w6MTUwMF8yMDIyMDMwN19UaV8xXzA5MjU=,1646726667.301616,H1379,500,1646690400,36000,220,19,27
VHJpcDpIU0w6MjQzNktfMjAyMjAzMDdfVGlfMV8xMDAx,1646726682.689496,H1911,436K,1646690400,36300,-10,1,45
VHJpcDpIU0w6NDQxNV8yMDIyMDMwN19UaV8yXzA5MTk=,1646726744.7274582,H1914,415,1646690400,36240,93,43,46
VHJpcDpIU0w6MjUxMF8yMDIyMDMwN19UaV8xXzA5NDI=,1646726775.5610306,H1379,510,1646690400,36300,84,13,27
VHJpcDpIU0w6MjUxMF8yMDIyMDMwN19UaV8xXzA5NDI=,1646726806.3463995,H1379,510,1646690400,36300,84,13,27
VHJpcDpIU0w6MTAyMl8yMDIyMDMwN19UaV8xXzA5NTA=,1646726867.944527,H1025,22,1646690400,36300,151,9,18
